transaction_id,purchase_ts,client_id_canonical,session_id,revenue,user_email,items_json,first_click_session_id,last_click_session_id,first_click_channel,last_click_channel,last_non_direct_session_id,last_non_direct_channel
ORD-20250303-351,2025-03-03 14:37:41.183000+00:00,1737382881-hEun5tD7Ri_v,1737382881-hEun5tD7Ri_v:3:20250303T142827,179.0,16ce7543271457d6f344e8af204b88e47d95bedbc520e9d77a07bd02975fd651,"[{""item_id"": ""K-SH02-WHT-3"", ""item_name"": ""Puffy Signature Sheets Set"", ""item_price"": 179, ""item_variant"": ""Arctic White / King  -  (76\""W x 80\""L)"", ""quantity"": 1}]",1737382881-hEun5tD7Ri_v:2:20250303T132209,1737382881-hEun5tD7Ri_v:3:20250303T142827,direct,direct,,
ORD-20250301-229,2025-03-01 00:15:22.719000+00:00,1737588711-y19MZTLwAlS_,1737588711-y19MZTLwAlS_:1:20250228T235810,349.0,9eec8595df3d21f9ac7292813dda77410b6f6e1af71ee5f88fbf074ec16c7521,"[{""item_id"": ""10T-PUFF-24"", ""item_name"": ""Puffy Cloud Mattress"", ""item_price"": 349, ""item_variant"": ""Twin  -  (38\""W x 75\""L x 10\""H)"", ""quantity"": 1}]",1737588711-y19MZTLwAlS_:1:20250228T235810,1737588711-y19MZTLwAlS_:1:20250228T235810,paid_search,paid_search,1737588711-y19MZTLwAlS_:1:20250228T235810,paid_search
ORD-20250223-823,2025-02-23 20:00:44.784000+00:00,1737909439-m_4_M4HT3Clc,1737909439-m_4_M4HT3Clc:1:20250223T195746,204.0,2bb774ba317c03a150f215b07510b154cca75305d29578c3f02caa4df5020d3b,"[{""item_id"": ""k-mtplw-w-21"", ""item_name"": ""Puffy Signature Pillow"", ""item_price"": 204, ""item_variant"": ""King"", ""quantity"": 2}]",1737909439-m_4_M4HT3Clc:1:20250223T195746,1737909439-m_4_M4HT3Clc:1:20250223T195746,direct,direct,,
ORD-20250228-388,2025-02-28 13:54:26.922000+00:00,1738009852-5QlHRCUAcC8Q,1738009852-5QlHRCUAcC8Q:1:20250228T135426,2654.0,37a81c079222230fae70615580c1f6b57abd52bb1873452484eb6d1dbdf3bc03,"[{""item_id"": ""10Q-PUFF-24"", ""item_name"": ""Puffy Cloud Mattress"", ""item_price"": 1898, ""item_variant"": ""Queen  -  (60\""W x 80\""L x 10\""H)"", ""quantity"": 2}, {""item_id"": ""Q-DMF-GRY-01"", ""item_name"": ""Puffy Dusk Bed Frame"", ""item_price"": 756, ""item_variant"": ""Queen  -  (60\""W x 80\""L x 14.5\""H)"", ""quantity"": 2}]",1738009852-5QlHRCUAcC8Q:1:20250228T135426,1738009852-5QlHRCUAcC8Q:1:20250228T135426,direct,direct,,
ORD-20250223-250,2025-02-23 02:21:03.443000+00:00,1738114715-VE0OVI-6MY_q,1738114715-VE0OVI-6MY_q:1:20250223T021519,1277.0,73ea3e236d34b8ae916b00798ea376ad7c55df1162651420e6d4e86c759e7a93,"[{""item_id"": ""ckprot1"", ""item_name"": ""Puffy Signature Mattress Protector"", ""item_price"": 128, ""item_variant"": ""Cal King  -  (72\""W x 84\""L)"", ""quantity"": 1}, {""item_id"": ""10CK-PUFF-24"", ""item_name"": ""Puffy Cloud Mattress"", ""item_price"": 1149, ""item_variant"": ""Cal King  -  (72\""W x 84\""L x 10\""H)"", ""quantity"": 1}]",1738114715-VE0OVI-6MY_q:1:20250223T021519,1738114715-VE0OVI-6MY_q:1:20250223T021519,direct,direct,,
ORD-20250225-265,2025-02-25 22:23:34.816000+00:00,1738458171-9vJJikpUTOb1,1738458171-9vJJikpUTOb1:2:20250225T221719,262.0,b2e2c78d2d945248c37ee3c5af8c1b8ac2306328c93d0deb3cef34b925ac4540,"[{""item_id"": ""CK-TOPPR-S-3"", ""item_name"": ""Puffy Deluxe Mattress Topper"", ""item_price"": 262, ""item_variant"": ""Soft / Cal King  -  (72\""W x 84\""L x 2.5\""H)"", ""quantity"": 1}]",1738458171-9vJJikpUTOb1:1:20250224T190951,1738458171-9vJJikpUTOb1:2:20250225T221719,unknown_paid,unknown_paid,1738458171-9vJJikpUTOb1:2:20250225T221719,unknown_paid
ORD-20250308-307,2025-03-08 23:25:23.260000+00:00,1738717293-A8SGrDCUzoxx,1738717293-A8SGrDCUzoxx:4:20250308T231123,1049.0,5a982c01e28ded03e81326c2bec7cb18a020e888f3e093a5c049744b183fa3b9,"[{""item_id"": ""12F-PUFFHB-24"", ""item_name"": ""Puffy Lux Mattress"", ""item_price"": null, ""item_variant"": ""Hybrid / Full  -  (54\""W x 75\""L x 12\""H)"", ""quantity"": 1}]",1738717293-A8SGrDCUzoxx:3:20250305T112121,1738717293-A8SGrDCUzoxx:4:20250308T231123,paid_search,paid_search,1738717293-A8SGrDCUzoxx:4:20250308T231123,paid_search
ORD-20250223-668,2025-02-23 16:33:13.884000+00:00,1738897592-wHdPs3e8dycN,1738897592-wHdPs3e8dycN:1:20250223T155215,262.0,b06c18e707fde89b20f9584c26094f30ff98cabe29b9f131e4a346971de3ef7f,"[{""item_id"": ""CK-TOPPR-S-3"", ""item_name"": ""Puffy Deluxe Mattress Topper"", ""item_price"": 262, ""item_variant"": ""Soft / Cal King  -  (72\""W x 84\""L x 2.5\""H)"", ""quantity"": 1}]",1738897592-wHdPs3e8dycN:1:20250223T155215,1738897592-wHdPs3e8dycN:1:20250223T155215,unknown_paid,unknown_paid,1738897592-wHdPs3e8dycN:1:20250223T155215,unknown_paid
ORD-20250228-293,2025-02-28 23:33:51.414000+00:00,1738979354-oafNfBd0b1z2,1738979354-oafNfBd0b1z2:2:20250228T233257,102.0,fc6676209b55c3ff2dfb580e8333171d15e67eadfdd6dd5a22274694d0fb521f,"[{""item_id"": ""s-mtplw-w-21"", ""item_name"": ""Puffy Signature Pillow"", ""item_price"": 102, ""item_variant"": ""Standard"", ""quantity"": 1}]",1738979354-oafNfBd0b1z2:1:20250226T154712,1738979354-oafNfBd0b1z2:2:20250228T233257,paid_search,unknown_paid,1738979354-oafNfBd0b1z2:2:20250228T233257,unknown_paid
ORD-20250306-280,2025-03-06 10:41:10.416000+00:00,1739042523-0dWy0onVklGz,1739042523-0dWy0onVklGz:4:20250306T101844,2618.0,4d62a7becef7b1347df211701eb8720505af58a582305ae2bb634be357666e43,"[{""item_id"": ""K-STR-BFRAM-01"", ""item_name"": ""Puffy Sterling Bed Frame"", ""item_price"": null, ""item_variant"": ""King - (80\""W x 88\""L x 51\""H)"", ""quantity"": 1}, {""item_id"": ""12K-PUFFHB-24"", ""item_name"": ""Puffy Lux Mattress"", ""item_price"": null, ""item_variant"": ""Hybrid / King  -  (76\""W x 80\""L x 12\""H)"", ""quantity"": 1}]",1739042523-0dWy0onVklGz:1:20250302T015413,1739042523-0dWy0onVklGz:4:20250306T101844,organic_search,direct,1739042523-0dWy0onVklGz:2:20250306T000746,paid_search
